name,brand,category,price,original_price,rating,reviews_count,url,discount_percentage,demand_proxy,price_per_rating,log_price,log_demand,log_reviews,optimal_price,price_uplift_pct,brand_encoded,category_encoded,cluster
Xiaomi Laptops 1,Xiaomi,laptops,33560.66,38954.2,3.5,839,https://example.com/product/1,13.85,2936.5,9322.405555555557,10.421139623005056,7.9853141584524145,6.733401891837359,36145.05353381589,7.700663615721158,7,0,0
OnePlus Tablets 2,OnePlus,tablets,26354.81,31759.48,3.6,85,https://example.com/product/2,17.02,306.0,7122.921621621622,10.179444023023054,5.726847747587197,4.454347296253507,35990.63992281406,36.5619403927179,2,2,0
Motorola Smartphones 3,Motorola,smartphones,14564.6,20473.21,4.3,4275,https://example.com/product/3,28.86,18382.5,3310.136363636364,9.586417863189755,9.819208802155579,8.360773272144936,37051.75288205166,154.3959523917695,1,1,4
OnePlus Laptops 4,OnePlus,laptops,60722.63,81033.43,4.3,4715,https://example.com/product/4,25.06,20274.5,13800.597727272729,11.014088192891299,9.917168539591993,8.458716261657262,37162.81562754319,-38.79906778157798,2,0,2
Samsung Tablets 5,Samsung,tablets,71810.69,75964.43,4.3,9091,https://example.com/product/5,5.47,39091.299999999996,16320.611363636366,11.18180255515413,10.57368079563372,9.115150184972434,38267.385114522534,-46.7107402609242,5,2,2
Apple Laptops 6,Apple,laptops,134092.44,169790.56,4.2,12355,https://example.com/product/6,21.02,51891.0,31184.288372093026,11.806292149355835,10.856919914690904,9.421897054038473,39018.7433721694,-70.90160834408755,0,0,3
Vivo Tablets 7,Vivo,tablets,8168.17,11117.62,4.2,1989,https://example.com/product/7,26.53,8353.800000000001,1899.5744186046513,9.008122591506044,9.030591502981162,7.595889917718538,36463.05575958292,346.4042222380646,6,2,4
Apple Laptops 8,Apple,laptops,127968.36,150630.43,4.8,2247,https://example.com/product/8,15.04,10785.6,26115.991836734698,11.759546139246986,9.286059902015504,7.717796211013582,36605.80543425855,-71.39464361795483,0,0,3
OnePlus Smartphones 9,OnePlus,smartphones,77472.05,87014.61,4.6,6594,https://example.com/product/9,10.97,30332.399999999998,16483.414893617024,11.257685412929707,10.32000469463066,8.794067065151415,37753.22682621085,-51.26858418460484,2,1,3
Motorola Tablets 10,Motorola,tablets,27295.32,30629.38,3.6,5032,https://example.com/product/10,10.89,18115.2,7377.113513513513,10.214507173552114,9.804561844579837,8.52377150677636,37036.06204068281,35.68649145964513,1,2,2
Apple Tablets 11,Apple,tablets,72712.13,92053.12,4.8,11884,https://example.com/product/11,21.01,57043.2,14839.210204081635,11.19427725244141,10.951581684916004,9.383032379794294,39321.1838992949,-45.922112446307246,0,2,1
Realme Laptops 12,Realme,laptops,10474.29,13784.63,3.6,423,https://example.com/product/12,24.01,1522.8,2830.8891891891894,9.256774429371317,7.328962494038909,6.049733455231958,36062.067591267594,244.29128457649725,4,0,0
Motorola Tablets 13,Motorola,tablets,34769.82,42906.77,4.3,421,https://example.com/product/13,18.96,1810.3,7902.231818181819,10.456533808272857,7.501800098498871,6.045005314036012,36078.94419767817,3.765116407499859,1,2,0
Vivo Smartphones 14,Vivo,smartphones,10286.35,12435.9,3.9,2563,https://example.com/product/14,17.29,9995.699999999999,2571.5875,9.238670264077081,9.2100103175142,7.849323818040561,36559.437325028244,255.4170072477433,6,1,4
Apple Tablets 15,Apple,tablets,81625.7,106554.38,3.6,12836,https://example.com/product/15,23.4,46209.6,22060.999999999996,11.309911693314382,10.740964487982572,9.460086905084927,38685.23814900051,-52.60654653007508,0,2,3
Realme Tablets 16,Realme,tablets,9443.66,11210.34,4.4,10880,https://example.com/product/16,15.76,47872.00000000001,2098.591111111111,9.153204781405194,10.77630695015341,9.294773427951013,38782.82308985944,310.6757664915874,4,2,1
Vivo Laptops 17,Vivo,laptops,13224.51,16400.16,3.7,2063,https://example.com/product/17,19.36,7633.1,3480.1342105263157,9.489902819309986,8.940380332512019,7.6324011266014535,36420.74977613909,175.4033969964792,6,0,4
Oppo Laptops 18,Oppo,laptops,23741.28,26872.39,3.9,371,https://example.com/product/18,11.65,1446.8999999999999,5935.32,10.07501270399015,7.277869509787376,5.918893854273146,36057.612167175204,51.877287859690824,3,0,0
Apple Laptops 19,Apple,laptops,94824.25,133736.06,3.9,1669,https://example.com/product/19,29.1,6509.099999999999,23706.0625,11.459791002989164,8.781110096067739,7.4205789054108005,36354.76958272869,-61.66089414603471,0,0,3
Oppo Tablets 20,Oppo,tablets,24435.71,26594.29,4.4,4073,https://example.com/product/20,8.12,17921.2,5430.1577777777775,10.103841788839452,9.793795446850707,8.31238059678675,37024.67400018315,51.518715847352716,3,2,2
Realme Laptops 21,Realme,laptops,12403.66,17684.1,3.8,1459,https://example.com/product/21,29.86,5544.2,3180.425641025641,9.425827487447183,8.620687967664221,7.286191714702382,36298.128756552804,192.6404686725757,4,0,4
Xiaomi Laptops 22,Xiaomi,laptops,28187.13,36987.07,4.6,6752,https://example.com/product/22,23.79,31059.199999999997,5997.261702127661,10.246656246327863,10.343682535831979,8.817742129574842,37795.89088721678,34.08917788798214,7,0,4
Vivo Tablets 23,Vivo,tablets,29806.06,33666.24,4.3,3130,https://example.com/product/23,11.47,13459.0,6774.1045454545465,10.302500557185779,9.50747760319872,8.049107721326406,36762.737328443036,23.339808510225886,6,2,2
Vivo Tablets 24,Vivo,tablets,9761.95,10313.0,4.0,416,https://example.com/product/24,5.34,1664.0,2380.963414634147,9.18634988783593,7.417580402414544,6.0330862217988015,36070.35620631168,269.4994976035697,6,2,0
OnePlus Laptops 25,OnePlus,laptops,34629.28,37160.69,4.1,2285,https://example.com/product/25,6.81,9368.5,8245.066666666668,10.452483722838801,9.14521501201572,7.734558844354756,36522.619907495326,5.4674538641731125,2,0,2
Apple Laptops 26,Apple,laptops,65705.38,90263.55,4.5,3029,https://example.com/product/26,27.21,13630.5,14283.778260869567,11.09295130782499,9.520138569992673,8.016317898503415,36772.804591049695,-44.03379968116813,0,0,3
Vivo Laptops 27,Vivo,laptops,16486.93,18227.81,4.7,3155,https://example.com/product/27,9.55,14828.5,3434.7770833333334,9.710383877049395,9.604373719121927,8.057060681965766,36843.128676197084,123.46870324673596,6,0,4
Samsung Smartphones 28,Samsung,smartphones,63433.99,78936.91,3.6,6034,https://example.com/product/28,19.64,21722.4,17144.32162162162,11.057770880933006,9.986145299550339,8.705331133531631,37247.809152488844,-41.280992804506155,5,1,2
Vivo Tablets 29,Vivo,tablets,25510.92,34085.7,4.4,2844,https://example.com/product/29,25.16,12513.6,5669.093333333333,10.146901072905736,9.434651241709066,7.953318346560431,36707.241176441086,43.888347329069624,6,2,4
Motorola Laptops 30,Motorola,laptops,34504.67,46477.79,3.6,137,https://example.com/product/30,25.76,493.2,9325.586486486485,10.448878937341913,6.2029402935545095,4.927253685157205,36001.628794883836,4.338423740565663,1,0,0
Motorola Tablets 31,Motorola,tablets,33726.61,40998.06,4.3,3386,https://example.com/product/31,17.74,14559.8,7665.1386363636375,10.426072068741203,9.586088265296198,8.127699852817772,36827.35565309265,9.19376614813244,1,2,2
Motorola Laptops 32,Motorola,laptops,19745.51,23892.95,3.6,2292,https://example.com/product/32,17.36,8251.2,5336.624324324323,9.890732045853659,9.018235110446158,7.737616282857904,36457.03301239084,84.63454735983444,1,0,2
OnePlus Laptops 33,OnePlus,laptops,56814.55,65181.34,3.7,45,https://example.com/product/33,12.84,166.5,14951.197368421052,10.947565334847363,5.120983351265121,3.828641396489095,35982.45109987745,-36.66683780848841,2,0,0
Apple Tablets 34,Apple,tablets,38684.15,44946.22,4.7,2760,https://example.com/product/34,13.93,12972.0,8059.197916666667,10.563211084447925,9.470625553571013,7.923348211930154,36734.14982471451,-5.04082466665416,0,2,2
Oppo Smartphones 35,Oppo,smartphones,30869.24,32874.79,3.6,6504,https://example.com/product/35,6.1,23414.4,8343.037837837837,10.33754789200437,10.061149204538138,8.780326390946605,37347.131650042575,20.984940510497093,3,1,2
Xiaomi Smartphones 36,Xiaomi,smartphones,41347.96,44950.06,4.3,612,https://example.com/product/36,8.01,2631.6,9397.263636363637,10.629802548986811,7.875727229991307,6.418364935936212,36127.15552583472,-12.62651041107053,7,1,0
